verb,  query,  verb_translation, notes
draw, drawing on floor, zeichnen
draw, drawing pictures, zeichnen
draw, horse drawn carriage, gezogene
draw, ox drawing plough, gezogene
draw, archer drawing bow, ziehen
draw, donkey drawn carriage, gezogene
draw, reindeer drawn sleigh, gezogene 
draw, police drawing gun, ziehen
draw, drawing on paper, zeichnen
serve, serving food in a restaurant, servieren
serve, serving a tennis ball, spielen
serve, serving a volleyball, spielen
serve, soldier serving in army, dienen
serve, soldier serving in navy, dienen
serve, priest serving in church, dienen
serve, serving in the navy, dienen
serve, serve as priest, dienen
serve, serving tea, servieren
serve, serve food at an event, servieren
serve, serving food to homeless, servieren
serve, stallion serving mare, decken
serve, ox serving cow, decken
brush, brushing hair, bürsten
brush, brushing teeth, putzen
brush, kids brushing teeth, putzen
brush, brushing floor, fegen
brush, brushing bread, einpinseln
brush, brushing dough, einpinseln
brush, brushing with butter, einpinseln
brush, brushing meat with sauce, einpinseln
brush, brushing wall, anstreichen
brush, brushing the paint, verstreichen
brush, brushing horse, striegeln
brush, brushing cat fur, bürsten
brush, brush off the dust, abbürsten
brush, brushing off shoulder, abbürsten
brush, brushing off hands, abbürsten
blow, blowing up bomb, detonieren
blow, blowing kiss, zublasen
blow, blowing glass, blasen
blow, people blowing nose, putzen
blow, people blowing horn, blasen
blow, blowing balloon, aufblasen
blow, people blowing flute, blasen
blow, blowing trumpet, blasen
blow, blowing with hair dryer,trocknen
blow, blowing soup, blasen
blow, wind blowing, bläsen, ?
blow, wind blowing in hurricane, blästen, ?
cry, crying for help, rufen
cry, crying, weinen
cry, crying out, ausrufen
cry, crying at funeral, weinen
cry, crying after winning, weinen
cry, infant crying, weinen
cry, cats crying, Katzen schreiben, ?
cry, crying for joy, weinen
cry, crying out in pain after injury, schreien
spread, spreading hands, ausbreiten
spread, spreading arms, ausbreiten
spread, birds spreading wings, breiten 
spread, fire spreading, breiten, 
spread, spreading out seeds, ausbringen
spread, spreading fertilizer with hand, ausbringen
spread, spreading butter on bread, streichen
spread, spreading jam on bread, streichen
spread, spreading frosting, verstreichen
